ticker,name
CNV.PA,Cnova
COFA.PA,Coface
ALCOF.PA,Cofidur
ALLEC.PA,Cogelec
ALCOG.PA,Cogra
COH.PA,Coheris
ALCOI.PA,Coil
MLCLP.PA,Colipays
ODET.PA,Compagnie Odet
MLMFI.PA,Condor Technolog
MLCNT.PA,Consort Nt
MLLCB.PA,Constructeurs Bois
MLCOE.PA,Core Spain Holdco
MLCOR.PA,Corep Lighting
MLCOT.PA,Coretech 5
COTY.PA,Coty
MLCOU.PA,Courbet
COUR.PA,Courtois
COV.PA,Covivio
COVH.PA,Covivio Hotels
CRAP.PA,Crcam Alp.Prov.Cci
CRAV.PA,Crcam Atl.Vend.Cci
CRBP2.PA,Crcam Brie Pic2Cci
CIV.PA,Crcam Ille-Vil.Cci
CRLA.PA,Crcam Langued Cci
CRLO.PA,Crcam Loire Hte L.
CMO.PA,Crcam Morbihan Cci
CNDF.PA,Crcam Nord Cci
CCN.PA,Crcam Norm.Seine
CAF.PA,Crcam Paris Et Idf
CRSU.PA,Crcam Sud R.A.Cci
CRTO.PA,Crcam Touraine Cci
ACA.PA,Credit Agricole
ALCJ.PA,Crossject
CROS.PA,Crosswood
ALCYB.PA,Cybergun
CYBK1.PA,Cybergun Bsa K1
CYBKA.PA,Cybergun Bsa K2A
CYBKB.PA,Cybergun Bsa K2B
ALDLS.PA,D.L.S.I.
MLDAM.PA,Damaris
ALDAR.PA,Damartex
BN.PA,Danone
AM.PA,Dassault Aviation
DSY.PA,Dassault Systemes
ALDBT.PA,Dbt
DBV.PA,Dbv Technologies
DEEZR.PA,Deezer
DEEZW.PA,Deezer Warrants
DKUPL.PA,Dekuple
ALDEL.PA,Delfingen
ALDLT.PA,Delta Plus Group
DBG.PA,Derichebourg
ALDEV.PA,Devernois
DMSBS.PA,Diagnostic Med Bsa
ALDMS.PA,Diagnostic Medical
ALIMG.PA,Dms Imaging
ALDNX.PA,Dnxcorp
DPAM.PA,Dock.Petr.Ambes Am
ALDOL.PA,Dolfines
ALDNE.PA,Dontnod
ALDRV.PA,Drone Volt
BNBS.PA,Drone Volt Bs26
MLDYN.PA,Dynafond
MLDYX.PA,Dynex Energy Sa
ALAGO.PA,E Pango
MLEAS.PA,Easson Holdings
MLEDR.PA,Eaux De Royan
MLEAV.PA,Eavs
MLECO.PA,Ecolutions
ALECO.PA,Ecomiam
ALESA.PA,Ecoslops
EDEN.PA,Edenred
ALEAC.PA,Ediliziacrobatica
MLEDS.PA,Editions Du Signe
MLEFA.PA,Eduform Action
MLEDU.PA,Eduniversal
ALGID.PA,Egide
FGR.PA,Eiffage
EKI.PA,Ekinops
ELEC.PA,Elec.Strasbourg
EEM.PA,Elect. Madagascar
ELIOR.PA,Elior Group
ELIS.PA,Elis
MLERH.PA,Elix
MLUAV.PA,Embention
ALEMV.PA,Emova Group
ALDUB.PA,Encres Dubuit
ALNN6.PA,Enensys
ALNRG.PA,Energisme
ALENE.PA,Enertime
ENGI.PA,Engie
ALENI.PA,Eniblock
ALENO.PA,Enogia
ALESE.PA,Entech
ALENT.PA,Entreparticuliers
ALENR.PA,Entreprendre
ALEO2.PA,Eo2
EQS.PA,Equasens
ERA.PA,Eramet
ALPLA.PA,Erold
ESI.PA,Esi Group
ALESK.PA,Esker
EL.PA,Essilorluxottica
ES.PA,Esso
EFI.PA,Eurasia Fonc Inv
ALEUA.PA,Eurasia Groupe
RF.PA,Eurazeo
EUR.PA,Euro Ressources
EAPI.PA,Euroapi
ALERS.PA,Eurobio-Scientific
ALECR.PA,Eurofins Cerep
ERF.PA,Eurofins Scient.
MLERO.PA,Euroland Corporate
MLCAN.PA,Eurolog Canola
ALEMG.PA,Euromedis Groupe
ENX.PA,Euronext
ALECP.PA,Europacorp
ALEUP.PA,Europlasma
ETL.PA,Eutelsat Communic.
EGR.PA,Evergreen
ALEXA.PA,Exacompta Clairef.
EXA.PA,Exail Technologies
EXN.PA,Exclusive Networks
EXE.PA,Exel Industries
EXPL.PA,Explosifs Prod.Chi
ALPHI.PA,Facephi
MLECE.PA,Faifey Invest
ALFBA.PA,Fashion B Air
FAYE.PA,Fayenc.Sarreguemi.
MLFDV.PA,Fd
FDJ.PA,Fdj
FCMC.PA,Ferm.Cas.Mun.Canne
FALG.PA,Fermentalg
SACI.PA,Fiducial Off.Sol.
ORIA.PA,Fiducial Real Est.
FGA.PA,Figeac Aero
ALFUM.PA,Fill Up Media
BERR.PA,Fin.Etang Berre
FOAF.PA,Fin.Ouest Africain
FINM.PA,Financiere Marjos
FNTS.PA,Finatis
MLFXO.PA,Finaxo
FIPP.PA,Fipp
MLFIR.PA,Firstcaution
ALFLE.PA,Fleury Michon
ALFLO.PA,Florentaise
FNAC.PA,Fnac Darty
MLFNP.PA,Fnptechnologiessa
ALFOC.PA,Focusentertainment
LEBL.PA,Fonciere 7 Invest
EURS.PA,Fonciere Euris
INEA.PA,Fonciere Inea
FLY.PA,Fonciere Lyonnaise
MLVIN.PA,Fonciere Vindi
SPEL.PA,Fonciere Volta
FORE.PA,Forestiere Equat.
FORSE.PA,Forsee Power
FRVIA.PA,Forvia
ALFPC.PA,Fountaine Pajot
FDE.PA,Francaise Energie
MLFSG.PA,France Soir Groupe
MLFTI.PA,France Tourisme
ALFRE.PA,Freelance.Com
FREY.PA,Frey
MLGAI.PA,G.A.I.
MLGAL.PA,Galeo
GALIM.PA,Galimmo
ALBI.PA,Gascogne
GAM.PA,Gaumont
ALGAU.PA,Gaussin
GEA.PA,Gea Grenobl.Elect.
ALGEC.PA,Geci Intl
GFC.PA,Gecina
GNE.PA,General Electric
GNRO.PA,Geneuro
GNFT.PA,Genfit
GV.PA,Genomic Vision
ALGEN.PA,Genoway
SIGHT.PA,Gensight Biologics
MLGEQ.PA,Gentlemens Equity
GET.PA,Getlink Se
ALGEV.PA,Gevelot
GLO.PA,Gl Events
MLGLA.PA,Glass To Power A
MLGLB.PA,Glass To Power B
MLGLW.PA,Glass To Power War
ALGBE.PA,Global Bioenergies
MLNDG.PA,Global Pielago
ALGLD.PA,Gold By Gold
GPE.PA,Gpe Group Pizzorno
ALPAR.PA,Gpe Parot (Auto)
GRVO.PA,Graines Voltz
ALGRO.PA,Grolleau
ALKEM.PA,Groupe Berkem
MLGRC.PA,Groupe Carnivor
CEN.PA,Groupe Crit
ALGIL.PA,Groupe Guillin
GJAJ.PA,Groupe Jaj
ALLDL.PA,Groupe Ldlc
ALOKW.PA,Groupe Okwind
PARP.PA,Groupe Partouche
MLPVG.PA,Groupe Plus-Values
SFPI.PA,Groupe Sfpi
ALGTR.PA,Groupe Tera
ALIMO.PA,Groupimo
GTBP.PA,Gt Biopharma Inc
GTT.PA,Gtt
MLGDI.PA,Guandao Puer Inves
GBT.PA,Guerbet
GUI.PA,Guillemot
ALHAF.PA,Haffner Energy
ALHGO.PA,Hamilton Global Op
PIG.PA,Haulotte Group
HDF.PA,Hdf
MLHAY.PA,Healthcare Activos
ALHRG.PA,Herige
RMS.PA,Hermes Intl
ALHEX.PA,Hexaom
ALHF.PA,Hf Company
HCO.PA,High Co
ALHYP.PA,Hipay Group
ALHIT.PA,Hitechpros
MLHK.PA,Hk
MLHBB.PA,Hoche Bains L.Bain
ALHGR.PA,Hoffmann
MLHCF.PA,Home Concept
MLHPE.PA,Hopening
ALHPI.PA,Hopium
ALHOP.PA,Hopscotch Groupe
MLHMC.PA,Hot.Majestic Canne
MLHBP.PA,Hoteles Bestprice
MLHOT.PA,Hotelim
HDP.PA,Hotels De Paris
MLHIN.PA,Hotl.Immob.Nice
ALHUN.PA,Hunyvers
ALHYG.PA,Hybrigenics
MLHYD.PA,Hydraulique Pb
MLHYE.PA,Hydro-Exploit.
ALHRS.PA,Hydrogen Refueling
ALICR.PA,I.Ceram
ALI2S.PA,I2S
MLINT.PA,Iante Investments
ICAD.PA,Icade
ALICA.PA,Icape Holding
IDL.PA,Id Logistics Group
IDIP.PA,Idi
MLIDS.PA,Ids
ALIDS.PA,Idsud
MLABC.PA,Igis Neptune
ALIKO.PA,Ikonisys
ALIE.PA,Ilbe
MLIML.PA,Imalliance
NK.PA,Imerys
MLIPP.PA,Imm.Paris.Perle
ALIMR.PA,Immersion
IMDA.PA,Immob.Dassault
ALIMP.PA,Implanet
MLIMP.PA,Imprimerie Chirat
MLIFS.PA,Impulse Fitness
INFE.PA,Indle Fin.Entrepr.
MLIFC.PA,Infoclip
INF.PA,Infotel
MLINM.PA,Inmark
MLISP.PA,Inmosupa
IPH.PA,Innate Pharma
ALINN.PA,Innelec Multimedia
MLIRF.PA,Innovative Rfk Spa
ALLUX.PA,Installux
ALINT.PA,Integragen
MLVIE.PA,Integritas Viager
ITP.PA,Interparfums
ITXT.PA,Intexa
ALINS.PA,Intrasense
IVA.PA,Inventiva
ALINV.PA,Invibes Advertsing
MLIOC.PA,Ioc Holding
MLIPO.PA,Iposa Properties
IPN.PA,Ipsen
IPS.PA,Ipsos
ALISP.PA,Ispd
ALITL.PA,It Link
MLITN.PA,Italy Innovazioni
ITE.PA,Itesoft
JBOG.PA,Jacques Bogart
JCQ.PA,Jacquet Metals
DEC.PA,Jcdecaux
MLJSA.PA,Jsa Technology
MLJ21.PA,Jungle21
ALKAL.PA,Kalray
KOF.PA,Kaufman Et Broad
KER.PA,Kering
ALKLK.PA,Kerlink
ALKEY.PA,Keyrus
ALKKO.PA,Kko International
ALKLA.PA,Klarsen
LI.PA,Klepierre
ALKOM.PA,Kompuestos
ALVAP.PA,Kumulus Vape
OR.PA,L'Oreal
ALPER.PA,La Perla Fashion
LACR.PA,Lacroix Group
MMB.PA,Lagardere Sa
ALLAN.PA,Lanson-Bcc
ALLGO.PA,Largo
LAT.PA,Latecoere
LPE.PA,Laurent-Perrier
LOUP.PA,Ldc
ALBON.PA,Lebon
LSS.PA,Lectra
LR.PA,Legrand
ALLPL.PA,Lepermislibre
ALLHB.PA,Les Hotels Baverez
ALLEX.PA,Lexibook Linguist.
LHYFE.PA,Lhyfe
LIN.PA,Linedata Services
FII.PA,Lisi
ALLAM.PA,Llama Group
ALLLN.PA,Lleida
LNA.PA,Lna Sante
MLLOI.PA,Locasystem Intl
ALLOG.PA,Logic Instrument
MLCAC.PA,Lombard Et Medot
ALUCI.PA,Lucibel
LBIRD.PA,Lumibird
MC.PA,Lvmh
MRM.PA,M.R.M
ALMII.PA,M2I
MAAT.PA,Maat Pharma
MLMAD.PA,Made
MLMGL.PA,Magillem
MLMAB.PA,Mais.Antoine Baud
MLCLI.PA,Maison Clio Blue
MDM.PA,Maisons Du Monde
ALMKS.PA,Making Science
MALT.PA,Malteries Fco-Bel.
MTU.PA,Manitou Bf
MLMAQ.PA,Maq Admon. Urbanas
ALMAR.PA,Mare Nostrum
IAM.PA,Maroc Telecom
ALMAS.PA,Mastrad
MASBS.PA,Mastrad Bs29
ALMKT.PA,Mauna Kea Tech
MAU.PA,Maurel Et Prom
MBWS.PA,Mbws
MCPHY.PA,Mcphy Energy
MLMDV.PA,Mdv
ALMDP.PA,Medesis Pharma
EDI.PA,Media 6
MLLAB.PA,Media Lab
ALKER.PA,Media Maker
ALMDT.PA,Mediantechnologies
MEDCL.PA,Medincell
MLMCE.PA,Mediocredito Europ
MEMS.PA,Memscap Regpt
MERY.PA,Mercialys
MLMIV.PA,Meridia Re Iv
MRN.PA,Mersen
METEX.PA,Metabolic Explorer
MLETA.PA,Metalliance
ALTHO.PA,Metavisio
ALMET.PA,Methanor
MLMIB.PA,Metrics In Balance
MMT.PA,Metropole Tv
ALMEX.PA,Mexedia
ALMGI.PA,Mg International
ALMDG.PA,Mgi Digital Graphi
ML.PA,Michelin
ALMIC.PA,Micropole
MLNMA.PA,Miguet Et Associes
ALMLB.PA,Miliboo
ALBUD.PA,Mint
ALMND.PA,Mnd
ALMCE.PA,Mon Courtier Energ
FMONC.PA,Moncey (Fin.) Nom.
MONT.PA,Montea
MLMTP.PA,Montepino Logistic
ALMOU.PA,Moulinvest
ALMRB.PA,Mr Bricolage
ALMUN.PA,Munic
MLMUT.PA,Mutter Ventures
MHM.PA,Myhotelmatch
NACON.PA,Nacon
ALNMR.PA,Namr
NANO.PA,Nanobiotix
NEOEN.PA,Neoen
ALNLF.PA,Neolife
ALNEV.PA,Neovacs
ALNTG.PA,Netgem
ALNMG.PA,Netmedia Group
NRO.PA,Neurones
NEX.PA,Nexans
NXI.PA,Nexity
ALNXT.PA,Nextedia
ALNFL.PA,Nfl Biosciences
NHOA.PA,Nhoa
ALCOX.PA,Nicox
NOKIA.PA,Nokia
MLBIO.PA,Nortem Biogroup
ALNOV.PA,Novacyt
MLNOV.PA,Novatech Ind.
NR21.PA,Nr21
NRG.PA,Nrj Group
ALNSC.PA,Nsc Groupe
ALNSE.PA,Nse
ALOBR.PA,Ober
ALBIZ.PA,Obiz
MLOCT.PA,Octopus Biosafety
SBT.PA,Oeneo
MLOKP.PA,Ok Properties
OLG.PA,Ol Groupe
ALODC.PA,Omer-Decugis & Cie
ALOPM.PA,Oncodesign Pm
ALEXP.PA,One Experience
MLONL.PA,Onlineformapro
ORA.PA,Orange
ORAP.PA,Orapi
MLORB.PA,Orbis Properties
ALORD.PA,Ordissimo
OREGE.PA,Orege
MLORQ.PA,Orinoquia
ORP.PA,Orpea
OSE.PA,Ose Immuno
ALWTR.PA,Osmosun
ALOSM.PA,Osmozis
OVH.PA,Ovh
MLPAC.PA,Pacte Novation
PAR.PA,Paref
PARRO.PA,Parrot
MLHOP.PA,Part.Indles Mini.
MLPRX.PA,Parx Materials Nv
PSAT.PA,Passat
PAT.PA,Patrimoine Et Comm
ALPAU.PA,Paulic Meunerie
RI.PA,Pernod Ricard
PERR.PA,Perrier (Gerard)
MLPER.PA,Perseida Renta
MLPET.PA,Pet Service
PEUG.PA,Peugeot Invest
ALPHS.PA,Pharmasimple
ALPHA.PA,Pharnext
PHXM.PA,Phaxiam Tx
MLPHW.PA,Phone Web
MLPHO.PA,Photonike Capital
VACBS.PA,Pierre Vac Bsa Act
VACBT.PA,Pierre Vac Bsa Cre
VAC.PA,Pierre Vacances
ALPDX.PA,Piscines Desjoyaux
ALPIX.PA,Pixium Vision
MLPLC.PA,Placoplatre
ALPAT.PA,Plant Advanced
PATBS.PA,Plant Advanced Bs
PVL.PA,Plast.Val Loire
POM.PA,Plastic Omnium
ALPJT.PA,Poujoulat
ALPOU.PA,Poulaillon
POXEL.PA,Poxel
ALPM.PA,Precia
ALPRE.PA,Predilife
ALPRI.PA,Prismaflex Intl
PROAC.PA,Proactis Sa
ALPRO.PA,Prodware
PWG.PA,Prodways
ALPRG.PA,Prologue
PROBT.PA,Prologue Bsa
MLPRI.PA,Prop.Immeubles
PUB.PA,Publicis Groupe Sa
QDT.PA,Quadient
ALQP.PA,Quadpack
ALQGC.PA,Quantum Genomics
ALQWA.PA,Qwamplify
ALRFG.PA,Racing Force
RAL.PA,Rallye
GDS.PA,Ramsay Gen Sante
ALRPD.PA,Rapid Nutrition
ALREA.PA,Realites
RCO.PA,Remy Cointreau
RNO.PA,Renault
MLJDL.PA,Res Gestae Socimi
ALREW.PA,Reworld Media
RXL.PA,Rexel
ALRIB.PA,Riber
RBT.PA,Robertet
CBR.PA,Robertet Cdv 87
CBE.PA,Robertet Ci
RBO.PA,Roche Bobois
ALROC.PA,Roctool
ROCBT.PA,Roctool Bsa 2020-2
ALRGR.PA,Rougier S.A.
RUI.PA,Rubis
SK.PA,S.E.B.
ALSAF.PA,Safe
SAF.PA,Safran
MLSAG.PA,Sagax Real Estate
SGO.PA,Saint Gobain
SABE.PA,Saint Jean Groupe
SAMS.PA,Samse
SAN.PA,Sanofi
ALMER.PA,Sapmer
DIM.PA,Sartorius Sted Bio
SAVE.PA,Savencia
MLSDN.PA,Savonnerie Nyons
CBSM.PA,Scbsm
MLCMI.PA,Scemi
SLB.PA,Schlumberger
SU.PA,Schneider Electric
MLSCI.PA,Scientia School
SCR.PA,Scor Se
SCHP.PA,Seche Environnem.
SGRO.PA,Segro Plc
ALSEI.PA,Seif Spa
SLCO.PA,Selcodis
SELER.PA,Selectirente
MLSMP.PA,Semplicemente Spa
ALSEN.PA,Sensorion
MLSEQ.PA,Sequa Petroleum Nv
SEFER.PA,Sergeferrari Group
SESG.PA,Ses
SESL.PA,Ses Imagotag
SRP.PA,Showroomprive
ALBFR.PA,Sidetrade
ALGIR.PA,Signaux Girod
SII.PA,Sii
MLSIL.PA,Silc
MLMAT.PA,Simat
ALSRS.PA,Sirius Media
ALSMA.PA,Smaio
MLSML.PA,Smalto
SMLBS.PA,Smalto Bsa
MLSGT.PA,Smart Good Things
SMCP.PA,Smcp
ALTPC.PA,Smtpc
SFCA.PA,Soc Franc Casinos
GLE.PA,Societe Generale
SW.PA,Sodexo
SEC.PA,Soditech
ALSOG.PA,Sogeclair
SOI.PA,Soitec
LOCAL.PA,Solocal Group
S30.PA,Solutions 30 Se
SOLB.PA,Solvay
SOP.PA,Sopra Steria Group
ALSPT.PA,Spartoo
MLSRP.PA,Speed Rabbit Pizza
SPIE.PA,Spie
ALSGD.PA,Spineguard
ALSPW.PA,Spineway
SQI.PA,Sqli
DPT.PA,St Dupont
STF.PA,Stef
STLAP.PA,Stellantis Nv
ALSTI.PA,Stif
STMPA.PA,Stmicroelectronics
ALSAS.PA,Stradim Espac.Fin
ALSTW.PA,Streamwide
STWBS.PA,Streamwide Bs25
STRBS.PA,Streamwide Bs25-2
MLSTR.PA,Streit Mecanique
MLSUM.PA,Sumo Resources Plc
SWP.PA,Sword Group
SYENS.PA,Syensqo
SDG.PA,Synergie
TKTT.PA,Tarkett
ALTTU.PA,Tatatu
TAYN.PA,Tayninh
TCHCS.PA,Technicolor Cs
TE.PA,Technip Energies
TEP.PA,Teleperformance
TVRB.PA,Televerbier
MLVST.PA,Televista
TRACT.PA,Teract
TERBS.PA,Teract Bs
TFI.PA,Tf1
TFF.PA,Tff Group
HO.PA,Thales
MLAZR.PA,The Azur Selection
ALTBG.PA,The Blockchain Gp
ALTHE.PA,Theraclion
ALTHX.PA,Theranexus
ALVET.PA,Theravet
THEP.PA,Thermador Groupe
TKO.PA,Tikehau Capital
TIPI.PA,Tipiak
TITC.PA,Titan Cement
ALTME.PA,Tme Pharma
TMBSY.PA,Tme Pharma Bsa Y
ALTD.PA,Tonner Drones
ALTLX.PA,Toolux Sanding
ALTOO.PA,Toosla
TTE.PA,Totalenergies
EC.PA,Totalenergiesgabon
TOUP.PA,Touax
EIFF.PA,Tour Eiffel
MLTRA.PA,Tramways De Rouen
TNG.PA,Transgene
TRI.PA,Trigano
ALTRI.PA,Trilogiq
MLTRO.PA,Troc Ile
ALTRO.PA,Tronics
ALTTI.PA,Tti
ALTXC.PA,Txcom
ALU10.PA,U10 Corp
UBI.PA,Ubisoft Entertain
MLALE.PA,Ucapital Global
MLUMG.PA,Umalis Group
URW.PA,Unibail-Rodamco-We
UNBL.PA,Unibel
FPG.PA,Union Tech.Infor.
ALUNT.PA,Uniti
ALUPG.PA,Upergy
ALUVI.PA,Uv Germi
ALVAL.PA,Valbiotis
FR.PA,Valeo
ALVIO.PA,Valerio Tx
VK.PA,Vallourec
VKBS.PA,Vallourec Bsa 21
VLA.PA,Valneva
MLVRE.PA,Vandor Real Estate
VANTI.PA,Vantiva
VANBS.PA,Vantiva Bsa 2024
MLVAZ.PA,Vaziva
ALVU.PA,Vente Unique.Com
VIE.PA,Veolia Environ.
ALVG.PA,Veom Group
VRLA.PA,Verallia
ALVER.PA,Vergnet
VMX.PA,Verimatrix
MLVER.PA,Verney Carron
MLVSY.PA,Versity
VETO.PA,Vetoquinol
ALVIA.PA,Vialife
VCT.PA,Vicat
VIL.PA,Viel Et Compagnie
DG.PA,Vinci
ALVIN.PA,Vinpai
VIRP.PA,Virbac
MLVIR.PA,Virtualware
ALVIV.PA,Visiativ
VIVBS.PA,Visiativ Bs
ALVMG.PA,Visiomed Group
VTR.PA,Vitura
VIV.PA,Vivendi Se
ALVGO.PA,Vogo
VLTSA.PA,Voltalia
ALVDM.PA,Voyageurs Du Monde
VRAP.PA,Vranken-Pommery
MLVRF.PA,Vref Seville
WAGA.PA,Waga Energy
ALLIX.PA,Wallix
WAVE.PA,Wavestone
ALWEC.PA,We.Connect
MLWEA.PA,Weaccess Group
ALWED.PA,Wedia
MLWEL.PA,Well
MF.PA,Wendel
MLWEY.PA,Weya
MLWRC.PA,Whiteni R Cajal
ALWF.PA,Winfarm
ALWIT.PA,Witbe
MLWIZ.PA,Wiziboat
WLN.PA,Worldline
XFAB.PA,X-Fab
XIL.PA,Xilam Animation
XILDS.PA,Xilam Animation Ds
MLZAM.PA,Zccm
CV.PA,Zci Limited
